drug1id,drug2id,drug1dose,drug2dose,combination_name,cellid,batchid,viability1,viability2,viability3,viability4,mu/muMax_published,X/X0_published
ABT-888,MK-8776,0.35,0.325,ABT-888 & MK-8776,A2058,1,0.732,0.831,0.743,0.754,0.853,0.815
ABT-888,MK-8776,0.35,1.15,ABT-888 & MK-8776,A2058,1,0.304,0.313,0.465,0.347,0.437,0.458
ABT-888,MK-8776,0.35,4,ABT-888 & MK-8776,A2058,1,0.029,0.028,0.027,0.02,-0.826,0.08
ABT-888,Topotecan,0.35,0.0223,ABT-888 & Topotecan,A2058,1,0.791,0.806,0.78,0.741,0.878,0.844
ABT-888,Topotecan,0.35,0.0775,ABT-888 & Topotecan,A2058,1,0.841,0.814,0.745,0.679,0.874,0.839
ABT-888,Topotecan,0.35,0.275,ABT-888 & Topotecan,A2058,1,0.663,0.549,0.501,0.449,0.673,0.635
ABT-888,Topotecan,0.35,1,ABT-888 & Topotecan,A2058,1,0.326,0.317,0.318,0.357,0.425,0.45
AZD1775,Dasatinib,0.0325,0.024,AZD1775 & Dasatinib,A2058,1,0.725,0.71,0.747,0.648,0.832,0.792
AZD1775,Dasatinib,0.0325,0.12,AZD1775 & Dasatinib,A2058,1,0.761,0.598,0.599,0.675,0.771,0.728
AZD1775,Dasatinib,0.0325,0.6,AZD1775 & Dasatinib,A2058,1,0.606,0.53,0.621,0.536,0.716,0.675
AZD1775,Dasatinib,0.0325,3,AZD1775 & Dasatinib,A2058,1,0.535,0.424,0.449,0.45,0.594,0.57
AZD1775,MK-2206,0.0325,0.045,AZD1775 & MK-2206,A2058,1,0.881,0.83,0.365,0.747,0.879,0.846
AZD1775,MK-2206,0.0325,0.2,AZD1775 & MK-2206,A2058,1,0.743,0.784,0.828,0.704,0.863,0.827
AZD1775,MK-2206,0.0325,0.9,AZD1775 & MK-2206,A2058,1,0.706,0.838,0.743,0.695,0.836,0.797
AZD1775,MK-2206,0.0325,4,AZD1775 & MK-2206,A2058,1,0.51,0.466,0.302,0.368,0.555,0.54
AZD1775,MK-8776,0.0325,0.0925,AZD1775 & MK-8776,A2058,1,0.833,0.823,0.65,0.438,0.845,0.806
AZD1775,MK-8776,0.0325,0.325,AZD1775 & MK-8776,A2058,1,0.732,0.798,0.644,0.841,0.864,0.828
AZD1775,MK-8776,0.0325,1.15,AZD1775 & MK-8776,A2058,1,0.602,0.638,0.516,0.573,0.73,0.687
AZD1775,MK-8776,0.0325,4,AZD1775 & MK-8776,A2058,1,0.483,0.461,0.474,0.386,0.614,0.586
AZD1775,Sorafenib,0.0325,2.5,AZD1775 & Sorafenib,A2058,1,0.735,0.697,0.723,0.794,0.839,0.8
AZD1775,Sorafenib,0.0325,5,AZD1775 & Sorafenib,A2058,1,0.481,0.423,0.4,0.439,0.573,0.553
AZD1775,Sorafenib,0.0325,10,AZD1775 & Sorafenib,A2058,1,0.147,0.214,0.227,0.292,0.232,0.345
AZD1775,Sorafenib,0.0325,20,AZD1775 & Sorafenib,A2058,1,0.197,0.312,0.296,0.3,0.385,0.426
BEZ-235,MK-8776,0.0045,0.0925,BEZ-235 & MK-8776,A2058,1,0.85,0.813,0.641,0.749,0.874,0.84
BEZ-235,MK-8776,0.0045,0.325,BEZ-235 & MK-8776,A2058,1,0.762,0.769,0.652,0.735,0.853,0.816
BEZ-235,MK-8776,0.0045,1.15,BEZ-235 & MK-8776,A2058,1,0.74,0.072,0.52,0.58,0.696,0.656
BEZ-235,MK-8776,0.0045,4,BEZ-235 & MK-8776,A2058,1,0.282,0.259,0.299,0.241,0.336,0.399
Bortezomib,BEZ-235,0.00045,0.0045,Bortezomib & BEZ-235,A2058,1,0.714,0.707,0.741,0.786,0.839,0.8
Bortezomib,BEZ-235,0.00045,0.02,Bortezomib & BEZ-235,A2058,1,0.567,0.659,0.463,0.613,0.732,0.69
Bortezomib,BEZ-235,0.00045,0.09,Bortezomib & BEZ-235,A2058,1,0.572,0.532,0.497,0.518,0.673,0.635
Bortezomib,BEZ-235,0.00045,0.4,Bortezomib & BEZ-235,A2058,1,0.547,0.495,0.474,0.44,0.632,0.6
Bortezomib,Oxaliplatin,0.00045,0.75,Bortezomib & Oxaliplatin,A2058,1,0.738,0.813,0.751,0.728,0.85,0.812
Bortezomib,Oxaliplatin,0.00045,2.25,Bortezomib & Oxaliplatin,A2058,1,0.69,0.692,0.468,0.455,0.723,0.681
Bortezomib,Oxaliplatin,0.00045,6.75,Bortezomib & Oxaliplatin,A2058,1,0.333,0.395,0.277,0.318,0.431,0.454
Bortezomib,Oxaliplatin,0.00045,20,Bortezomib & Oxaliplatin,A2058,1,0.464,0.463,0.416,0.448,0.601,0.575
Bortezomib,geldanamycin,0.00045,0.0223,Bortezomib & geldanamycin,A2058,1,0.843,0.804,0.827,0.824,0.903,0.874
Bortezomib,geldanamycin,0.00045,0.1,Bortezomib & geldanamycin,A2058,1,0.787,0.788,0.81,0.735,0.879,0.845
Bortezomib,geldanamycin,0.00045,0.45,Bortezomib & geldanamycin,A2058,1,0.655,0.655,0.646,0.651,0.784,0.741
Bortezomib,geldanamycin,0.00045,2,Bortezomib & geldanamycin,A2058,1,0.495,0.575,0.423,0.466,0.628,0.597
Carboplatin,Dasatinib,0.825,0.024,Carboplatin & Dasatinib,A2058,1,0.884,0.257,0.805,0.84,0.901,0.871
Carboplatin,Dasatinib,0.825,0.12,Carboplatin & Dasatinib,A2058,1,0.765,0.401,0.681,0.902,0.835,0.796
Carboplatin,Dasatinib,0.825,0.6,Carboplatin & Dasatinib,A2058,1,0.62,0.383,0.538,0.534,0.683,0.645
Carboplatin,Dasatinib,0.825,3,Carboplatin & Dasatinib,A2058,1,0.101,0.087,0.067,0.088,-0.238,0.18
Carboplatin,Lapatinib,0.825,0.055,Carboplatin & Lapatinib,A2058,1,0.731,0.66,0.736,0.621,0.816,0.775
Carboplatin,Lapatinib,0.825,0.245,Carboplatin & Lapatinib,A2058,1,0.534,0.482,0.512,0.505,0.657,0.621
Carboplatin,Lapatinib,0.825,1.1,Carboplatin & Lapatinib,A2058,1,0.422,0.39,0.33,0.388,0.521,0.515
Carboplatin,Lapatinib,0.825,5,Carboplatin & Lapatinib,A2058,1,0.034,0.035,0.024,0.033,-0.725,0.092
Carboplatin,MK-8669,0.825,0.00011,Carboplatin & MK-8669,A2058,1,0.822,0.637,0.726,0.724,0.837,0.798
Carboplatin,MK-8669,0.825,5e-04,Carboplatin & MK-8669,A2058,1,0.645,0.653,0.698,0.523,0.78,0.737
Carboplatin,MK-8669,0.825,0.00223,Carboplatin & MK-8669,A2058,1,0.616,0.5,0.536,0.536,0.683,0.645
Carboplatin,MK-8669,0.825,0.01,Carboplatin & MK-8669,A2058,1,0.329,0.304,0.311,0.35,0.421,0.448
Carboplatin,Sunitinib,0.825,0.625,Carboplatin & Sunitinib,A2058,1,0.857,0.791,0.787,0.789,0.88,0.847
Carboplatin,Sunitinib,0.825,1.25,Carboplatin & Sunitinib,A2058,1,0.783,0.724,0.899,0.155,0.856,0.82
Carboplatin,Sunitinib,0.825,2.5,Carboplatin & Sunitinib,A2058,1,0.522,0.536,0.524,0.56,0.678,0.64
Carboplatin,Sunitinib,0.825,5,Carboplatin & Sunitinib,A2058,1,0.179,0.157,0.186,0.139,0.095,0.285
Cyclophosphamide,ABT-888,0.35,0.35,Cyclophosphamide & ABT-888,A2058,1,0.809,0.832,0.847,0.833,0.907,0.879
Cyclophosphamide,ABT-888,0.35,1.08,Cyclophosphamide & ABT-888,A2058,1,0.425,0.371,0.275,0.405,0.52,0.514
Cyclophosphamide,ABT-888,0.35,3.25,Cyclophosphamide & ABT-888,A2058,1,0.123,0.123,0.107,0.111,-0.09,0.221
Cyclophosphamide,ABT-888,0.35,10,Cyclophosphamide & ABT-888,A2058,1,0.109,0.103,0.089,0.106,-0.148,0.204
Cyclophosphamide,BEZ-235,0.35,0.0045,Cyclophosphamide & BEZ-235,A2058,1,0.968,0.888,0.059,1.028,0.962,0.949
Cyclophosphamide,BEZ-235,0.35,0.02,Cyclophosphamide & BEZ-235,A2058,1,0.566,0.648,0.513,0.53,0.695,0.655
Cyclophosphamide,BEZ-235,0.35,0.09,Cyclophosphamide & BEZ-235,A2058,1,0.248,0.191,0.196,0.262,0.236,0.347
Cyclophosphamide,BEZ-235,0.35,0.4,Cyclophosphamide & BEZ-235,A2058,1,0.126,0.146,0.153,0.157,0.035,0.262
Cyclophosphamide,Erlotinib,0.35,0.055,Cyclophosphamide & Erlotinib,A2058,1,1.001,0.996,0.956,1.047,0.999,0.999
Cyclophosphamide,Erlotinib,0.35,0.245,Cyclophosphamide & Erlotinib,A2058,1,0.956,0.985,0.963,1.061,0.987,0.982
Cyclophosphamide,Erlotinib,0.35,1.1,Cyclophosphamide & Erlotinib,A2058,1,0.457,0.499,0.55,0.434,0.625,0.595
Cyclophosphamide,Erlotinib,0.35,5,Cyclophosphamide & Erlotinib,A2058,1,0.027,0.04,0.024,0.023,-0.86,0.076
Cyclophosphamide,MK-4827,0.35,0.223,Cyclophosphamide & MK-4827,A2058,1,0.884,1.019,1.053,1.05,1.017,1.024
Cyclophosphamide,MK-4827,0.35,0.775,Cyclophosphamide & MK-4827,A2058,1,0.833,0.825,0.876,0.846,0.911,0.884
Cyclophosphamide,MK-4827,0.35,2.75,Cyclophosphamide & MK-4827,A2058,1,0.642,0.682,0.772,0.746,0.829,0.789
Cyclophosphamide,MK-4827,0.35,10,Cyclophosphamide & MK-4827,A2058,1,0.508,0.618,0.107,0.551,0.678,0.64
Cyclophosphamide,PD325901,0.35,0.0011,Cyclophosphamide & PD325901,A2058,1,0.938,0.994,1.007,0.952,0.986,0.981
Cyclophosphamide,PD325901,0.35,0.005,Cyclophosphamide & PD325901,A2058,1,0.7,0.877,0.96,0.806,0.912,0.885
Cyclophosphamide,PD325901,0.35,0.0223,Cyclophosphamide & PD325901,A2058,1,0.504,0.584,0.252,0.644,0.691,0.652
Cyclophosphamide,PD325901,0.35,0.1,Cyclophosphamide & PD325901,A2058,1,0.447,0.676,0.62,0.646,0.768,0.725
Cyclophosphamide,Zolinza,0.35,0.0925,Cyclophosphamide & Zolinza,A2058,1,1.074,1.041,1.082,1.037,1.028,1.04
Cyclophosphamide,Zolinza,0.35,0.325,Cyclophosphamide & Zolinza,A2058,1,1.108,1.061,1.013,1.024,1.021,1.03
Cyclophosphamide,Zolinza,0.35,1.15,Cyclophosphamide & Zolinza,A2058,1,0.864,0.896,0.954,0.865,0.935,0.914
Cyclophosphamide,Zolinza,0.35,4,Cyclophosphamide & Zolinza,A2058,1,0.548,0.482,0.385,,0.629,0.598
Dasatinib,Dinaciclib,0.024,0.000925,Dasatinib & Dinaciclib,A2058,1,1.027,0.977,0.422,0.3,0.819,0.778
Dasatinib,Dinaciclib,0.024,0.00325,Dasatinib & Dinaciclib,A2058,1,0.881,0.854,0.845,0.792,0.917,0.892
Dasatinib,Dinaciclib,0.024,0.0115,Dasatinib & Dinaciclib,A2058,1,0.531,0.427,0.313,0.539,0.627,0.596
Dasatinib,Dinaciclib,0.024,0.04,Dasatinib & Dinaciclib,A2058,1,0.095,0.092,0.106,0.056,-0.203,0.189
Dasatinib,Sorafenib,0.024,2.5,Dasatinib & Sorafenib,A2058,1,0.169,0.566,0.95,0.528,0.694,0.654
Dasatinib,Sorafenib,0.024,5,Dasatinib & Sorafenib,A2058,1,0.163,0.553,1.056,0.752,0.783,0.74
Dasatinib,Sorafenib,0.024,10,Dasatinib & Sorafenib,A2058,1,0.145,0.362,0.614,0.283,0.426,0.451
Dasatinib,Sorafenib,0.024,20,Dasatinib & Sorafenib,A2058,1,0.077,0.077,0.041,0.039,-0.437,0.136
Dexamethasone,AZD1775,0.35,0.0325,Dexamethasone & AZD1775,A2058,1,0.799,0.759,0.936,0.764,0.875,0.841
Dexamethasone,AZD1775,0.35,0.08,Dexamethasone & AZD1775,A2058,1,0.344,0.277,0.306,0.239,0.374,0.42
Dexamethasone,AZD1775,0.35,0.2,Dexamethasone & AZD1775,A2058,1,0.106,0.134,0.124,0.273,-0.04,0.237
Dexamethasone,AZD1775,0.35,0.5,Dexamethasone & AZD1775,A2058,1,0.067,0.052,0.036,0.088,-0.432,0.137
Dexamethasone,Dinaciclib,0.35,0.000925,Dexamethasone & Dinaciclib,A2058,1,1.046,0.064,0.863,1.001,0.964,0.952
Dexamethasone,Dinaciclib,0.35,0.00325,Dexamethasone & Dinaciclib,A2058,1,0.425,0.376,0.414,0.398,0.542,0.53
Dexamethasone,Dinaciclib,0.35,0.0115,Dexamethasone & Dinaciclib,A2058,1,0.118,0.116,0.113,0.144,-0.091,0.22
Dexamethasone,Dinaciclib,0.35,0.04,Dexamethasone & Dinaciclib,A2058,1,0.106,0.091,0.105,0.119,-0.141,0.206
Dexamethasone,MK-2206,0.35,0.045,Dexamethasone & MK-2206,A2058,1,0.965,1.024,1.16,1.029,1.013,1.019
Dexamethasone,MK-2206,0.35,0.2,Dexamethasone & MK-2206,A2058,1,0.956,0.176,1.031,0.969,0.98,0.973
Dexamethasone,MK-2206,0.35,0.9,Dexamethasone & MK-2206,A2058,1,0.943,0.995,1.035,1.004,1,1
Dexamethasone,MK-2206,0.35,4,Dexamethasone & MK-2206,A2058,1,0.751,0.958,0.772,0.953,0.925,0.901
Dexamethasone,MK-8776,0.35,0.0925,Dexamethasone & MK-8776,A2058,1,1.046,0.941,0.938,0.894,0.968,0.957
Dexamethasone,MK-8776,0.35,0.325,Dexamethasone & MK-8776,A2058,1,0.554,0.428,0.586,0.501,0.675,0.637
Dexamethasone,MK-8776,0.35,1.15,Dexamethasone & MK-8776,A2058,1,0.223,0.233,0.195,0.24,0.25,0.354
Dexamethasone,MK-8776,0.35,4,Dexamethasone & MK-8776,A2058,1,0.154,0.157,0.101,0.146,0.037,0.263
Dexamethasone,Temozolomide,0.35,2.75,Dexamethasone & Temozolomide,A2058,1,0.981,1.036,0.919,1.106,1.004,1.006
Dexamethasone,Temozolomide,0.35,12.3,Dexamethasone & Temozolomide,A2058,1,1.047,1.041,1.045,1.092,1.023,1.032
Dexamethasone,Temozolomide,0.35,55,Dexamethasone & Temozolomide,A2058,1,0.064,0.117,0.118,0.019,-0.218,0.185
Dexamethasone,Temozolomide,0.35,250,Dexamethasone & Temozolomide,A2058,1,0.005,0.003,0.002,0.003,-1.984,0.016
Doxorubicin,ABT-888,0.0108,0.35,Doxorubicin & ABT-888,A2058,1,0.853,0.796,0.782,0.826,0.894,0.863
Doxorubicin,ABT-888,0.0108,1.08,Doxorubicin & ABT-888,A2058,1,0.828,0.743,0.704,0.715,0.839,0.8
Doxorubicin,ABT-888,0.0108,3.25,Doxorubicin & ABT-888,A2058,1,0.938,0.648,0.76,0.828,0.883,0.85
Doxorubicin,ABT-888,0.0108,10,Doxorubicin & ABT-888,A2058,1,1.063,0.795,0.861,0.788,0.904,0.876
Doxorubicin,BEZ-235,0.0108,0.0045,Doxorubicin & BEZ-235,A2058,1,1.051,1.066,1.093,0.08,1.029,1.041
Doxorubicin,BEZ-235,0.0108,0.02,Doxorubicin & BEZ-235,A2058,1,1.034,0.998,1.015,0.991,1.003,1.005
Doxorubicin,BEZ-235,0.0108,0.09,Doxorubicin & BEZ-235,A2058,1,0.433,0.179,0.475,0.368,0.535,0.525
Doxorubicin,BEZ-235,0.0108,0.4,Doxorubicin & BEZ-235,A2058,1,0.029,0.017,0.026,0.028,-0.841,0.078
Doxorubicin,Dinaciclib,0.0108,0.000925,Doxorubicin & Dinaciclib,A2058,1,1.067,1.001,0.969,0.924,0.992,0.989
Doxorubicin,Dinaciclib,0.0108,0.00325,Doxorubicin & Dinaciclib,A2058,1,0.947,1.067,1.011,0.919,0.989,0.985
Doxorubicin,Dinaciclib,0.0108,0.0115,Doxorubicin & Dinaciclib,A2058,1,0.988,0.747,0.925,0.803,0.926,0.902
Doxorubicin,Dinaciclib,0.0108,0.04,Doxorubicin & Dinaciclib,A2058,1,0.55,0.524,0.579,0.556,0.699,0.659
Doxorubicin,L778123,0.0108,0.325,Doxorubicin & L778123,A2058,1,0.915,0.986,1.021,0.922,0.976,0.967
Doxorubicin,L778123,0.0108,0.8,Doxorubicin & L778123,A2058,1,0.959,0.906,1.018,1.033,0.994,0.992
Doxorubicin,L778123,0.0108,2,Doxorubicin & L778123,A2058,1,1.13,0.99,1.018,0.895,1.002,1.003
Doxorubicin,L778123,0.0108,5,Doxorubicin & L778123,A2058,1,0.63,0.403,0.705,0.517,0.718,0.676
Doxorubicin,MK-2206,0.0108,0.045,Doxorubicin & MK-2206,A2058,1,0.895,0.937,0.973,0.95,0.97,0.96
Doxorubicin,MK-2206,0.0108,0.2,Doxorubicin & MK-2206,A2058,1,0.859,0.883,0.913,0.92,0.945,0.927
Doxorubicin,MK-2206,0.0108,0.9,Doxorubicin & MK-2206,A2058,1,0.792,0.884,0.852,0.817,0.908,0.88
Doxorubicin,MK-2206,0.0108,4,Doxorubicin & MK-2206,A2058,1,0.54,0.472,0.559,0.649,0.696,0.656
Doxorubicin,MK-5108,0.0108,0.075,Doxorubicin & MK-5108,A2058,1,0.148,0.39,0.916,0.262,0.431,0.454
Doxorubicin,MK-5108,0.0108,0.225,Doxorubicin & MK-5108,A2058,1,0.174,0.205,0.411,0.252,0.251,0.354
Doxorubicin,MK-5108,0.0108,0.675,Doxorubicin & MK-5108,A2058,1,0.219,0.163,0.165,0.168,0.089,0.283
Doxorubicin,MK-5108,0.0108,2,Doxorubicin & MK-5108,A2058,1,0.221,0.261,0.183,0.28,0.277,0.367
Doxorubicin,MK-8776,0.0108,0.0925,Doxorubicin & MK-8776,A2058,1,1.002,1.082,1.025,1.019,1.011,1.016
Doxorubicin,MK-8776,0.0108,0.325,Doxorubicin & MK-8776,A2058,1,0.999,0.984,0.975,1.009,0.996,0.994
Doxorubicin,MK-8776,0.0108,1.15,Doxorubicin & MK-8776,A2058,1,0.869,0.898,0.898,1.023,0.945,0.927
Doxorubicin,MK-8776,0.0108,4,Doxorubicin & MK-8776,A2058,1,0.383,0.41,0.4,0.397,0.533,0.523
Doxorubicin,Sorafenib,0.0108,2.5,Doxorubicin & Sorafenib,A2058,1,0.796,1.058,0.991,0.875,0.965,0.952
Doxorubicin,Sorafenib,0.0108,5,Doxorubicin & Sorafenib,A2058,1,0.798,0.892,0.876,0.805,0.912,0.885
Doxorubicin,Sorafenib,0.0108,10,Doxorubicin & Sorafenib,A2058,1,0.589,0.642,0.716,0.687,0.792,0.75
Doxorubicin,Sorafenib,0.0108,20,Doxorubicin & Sorafenib,A2058,1,0.636,0.65,0.6,0.628,0.767,0.724
Doxorubicin,Temozolomide,0.0108,2.75,Doxorubicin & Temozolomide,A2058,1,0.926,0.751,0.877,0.595,0.895,0.865
Doxorubicin,Temozolomide,0.0108,12.3,Doxorubicin & Temozolomide,A2058,1,0.316,0.166,0.274,0.263,0.332,0.396
Doxorubicin,Temozolomide,0.0108,55,Doxorubicin & Temozolomide,A2058,1,0.147,0.225,0.198,0.145,0.108,0.291
Doxorubicin,Temozolomide,0.0108,250,Doxorubicin & Temozolomide,A2058,1,0.38,0.382,0.398,0.4,0.522,0.516
Doxorubicin,geldanamycin,0.0108,0.0223,Doxorubicin & geldanamycin,A2058,1,0.934,0.978,1.08,1.058,1.009,1.013
Doxorubicin,geldanamycin,0.0108,0.1,Doxorubicin & geldanamycin,A2058,1,0.908,0.925,1.043,1.01,0.983,0.977
Doxorubicin,geldanamycin,0.0108,0.45,Doxorubicin & geldanamycin,A2058,1,0.857,0.814,0.962,0.248,0.909,0.881
Doxorubicin,geldanamycin,0.0108,2,Doxorubicin & geldanamycin,A2058,1,0.48,0.455,0.603,0.722,0.689,0.649
Erlotinib,Bortezomib,0.055,0.00045,Erlotinib & Bortezomib,A2058,1,1.054,0.922,0.921,0.985,0.976,0.967
Erlotinib,Bortezomib,0.055,0.002,Erlotinib & Bortezomib,A2058,1,1.015,0.95,1.003,0.923,0.988,0.983
Erlotinib,Bortezomib,0.055,0.009,Erlotinib & Bortezomib,A2058,1,0.816,0.815,0.751,0.878,0.896,0.866
Erlotinib,Bortezomib,0.055,0.04,Erlotinib & Bortezomib,A2058,1,0.621,0.547,0.593,0.541,0.715,0.673
Erlotinib,Oxaliplatin,0.055,0.75,Erlotinib & Oxaliplatin,A2058,1,0.951,1.081,0.977,0.97,0.986,0.981
Erlotinib,Oxaliplatin,0.055,2.25,Erlotinib & Oxaliplatin,A2058,1,0.939,0.982,0.245,0.989,0.98,0.972
Erlotinib,Oxaliplatin,0.055,6.75,Erlotinib & Oxaliplatin,A2058,1,0.72,0.834,0.753,0.751,0.855,0.818
Erlotinib,Oxaliplatin,0.055,20,Erlotinib & Oxaliplatin,A2058,1,0.092,0.068,0.117,0.12,-0.147,0.204
Erlotinib,Topotecan,0.055,0.0223,Erlotinib & Topotecan,A2058,1,1.01,0.456,1.055,0.968,0.994,0.992
Erlotinib,Topotecan,0.055,0.0775,Erlotinib & Topotecan,A2058,1,0.956,0.393,1.085,1.077,1.008,1.012
Erlotinib,Topotecan,0.055,0.275,Erlotinib & Topotecan,A2058,1,0.823,0.392,1.013,0.678,0.854,0.817
Erlotinib,Topotecan,0.055,1,Erlotinib & Topotecan,A2058,1,0.052,0.244,0.075,0.125,-0.168,0.198
Etoposide,BEZ-235,0.045,0.0045,Etoposide & BEZ-235,A2058,1,0.767,0.398,0.743,0.937,0.857,0.821
Etoposide,BEZ-235,0.045,0.02,Etoposide & BEZ-235,A2058,1,0.181,0.295,0.215,0.277,0.288,0.373
Etoposide,BEZ-235,0.045,0.09,Etoposide & BEZ-235,A2058,1,0.116,0.125,0.111,0.169,-0.075,0.225
Etoposide,BEZ-235,0.045,0.4,Etoposide & BEZ-235,A2058,1,0.071,0.048,0.065,0.132,-0.367,0.15
Etoposide,Erlotinib,0.045,0.055,Etoposide & Erlotinib,A2058,1,0.911,0.978,1.042,1.041,1.005,1.007
Etoposide,Erlotinib,0.045,0.245,Etoposide & Erlotinib,A2058,1,0.417,0.602,0.351,0.487,0.597,0.572
Etoposide,Erlotinib,0.045,1.1,Etoposide & Erlotinib,A2058,1,0.121,0.12,0.108,0.1,-0.103,0.217
Etoposide,Erlotinib,0.045,5,Etoposide & Erlotinib,A2058,1,0.088,0.085,0.085,0.095,-0.241,0.179
Etoposide,MK-8776,0.045,0.0925,Etoposide & MK-8776,A2058,1,0.206,0.199,0.221,0.252,0.216,0.337
Etoposide,MK-8776,0.045,0.325,Etoposide & MK-8776,A2058,1,0.226,0.251,0.224,0.188,0.242,0.35
Etoposide,MK-8776,0.045,1.15,Etoposide & MK-8776,A2058,1,0.121,0.144,0.104,0.108,-0.099,0.218
Etoposide,MK-8776,0.045,4,Etoposide & MK-8776,A2058,1,0.009,0.008,0.009,0.005,-1.431,0.034
Etoposide,Temozolomide,0.045,2.75,Etoposide & Temozolomide,A2058,1,0.248,0.207,0.215,0.183,0.21,0.335
Etoposide,Temozolomide,0.045,12.3,Etoposide & Temozolomide,A2058,1,0.154,0.14,0.128,0.117,-0.02,0.243
Etoposide,Temozolomide,0.045,55,Etoposide & Temozolomide,A2058,1,0.057,0.034,0.04,0.037,-0.654,0.101
Etoposide,Temozolomide,0.045,250,Etoposide & Temozolomide,A2058,1,0.088,0.089,0.097,0.07,-0.231,0.182
Gemcitabine,AZD1775,0.00125,0.0325,Gemcitabine & AZD1775,A2058,1,0.221,0.23,0.231,0.201,0.245,0.351
Gemcitabine,AZD1775,0.00125,0.08,Gemcitabine & AZD1775,A2058,1,0.242,0.246,0.227,0.235,0.272,0.365
Gemcitabine,AZD1775,0.00125,0.2,Gemcitabine & AZD1775,A2058,1,0.224,0.22,0.209,0.201,0.218,0.338
Gemcitabine,AZD1775,0.00125,0.5,Gemcitabine & AZD1775,A2058,1,0.169,0.164,0.171,0.176,0.101,0.288
Gemcitabine,Dinaciclib,0.00125,0.000925,Gemcitabine & Dinaciclib,A2058,1,0.203,0.235,0.139,0.206,0.194,0.327
Gemcitabine,Dinaciclib,0.00125,0.00325,Gemcitabine & Dinaciclib,A2058,1,0.207,0.267,0.252,0.182,0.252,0.354
Gemcitabine,Dinaciclib,0.00125,0.0115,Gemcitabine & Dinaciclib,A2058,1,0.192,0.188,0.221,0.2,0.173,0.318
Gemcitabine,Dinaciclib,0.00125,0.04,Gemcitabine & Dinaciclib,A2058,1,0.159,0.137,0.144,0.097,0.005,0.252
Gemcitabine,MK-4827,0.00125,0.223,Gemcitabine & MK-4827,A2058,1,0.203,0.236,0.229,0.201,0.222,0.34
Gemcitabine,MK-4827,0.00125,0.775,Gemcitabine & MK-4827,A2058,1,0.191,0.244,0.167,0.167,0.127,0.298
Gemcitabine,MK-4827,0.00125,2.75,Gemcitabine & MK-4827,A2058,1,0.158,0.138,0.132,0.128,-0.015,0.245
Gemcitabine,MK-4827,0.00125,10,Gemcitabine & MK-4827,A2058,1,0.032,0.031,0.036,0.039,-0.72,0.092
Gemcitabine,MK-8669,0.00125,0.00011,Gemcitabine & MK-8669,A2058,1,0.992,1.044,1.018,0.928,1.002,1.003
